pojazd_id,marka,kategoria,typ,model,wariant,wersja,rodzaj,podrodzaj,przeznaczenie,pochodzenie,rodzaj_tab_znamionowej,rok_produkcji,sposob_produkcji,data_pierwszej_rej,data_rejestracji_ost,data_pierwszej_rej_za_granica,pojemnosc_silnika,moc_do_masy,moc_silnika,moc_silnika_hybrydowego,masa_wlasna,masa_pgj,dopuszczalna_masa_calkowita,maksymalna_masa_calkowita,dopuszczalna_ladownosc_calk,maksymalna_ladownosc_calk,dopuszczalna_masa_ciag_zesp,liczba_osi,naj_dopuszczalny_nacisk_osi,naj_maksymalny_nacisk_osi,max_masa_przyczepy_z_hamulcem,max_masa_przyczepy_bez_ham,liczba_miejsc_ogolem,liczba_miejsc_siedzacych,liczba_miejsc_stojacych,rodzaj_paliwa,rodzaj_paliwa_alternatywnego,rodzaj_paliwa_alternatywnego2,sr_zuzycie_pal,rodzaj_zawieszenia,radar,hak,kierownica_polozenie,kierownica_z_prawej,katalizator,producent_podstawowy,kod_ident,rozstaw_osi_kierowanej,rozstaw_kol_max,rozstaw_kol_sred,rozstaw_kol_min,emisja_co2_redukcja,wersja_rpp,kod_rpp,data_wyrejestrowania,przyczyna_wyrejestrowania,data_wprowadzenia_danych,akt_miejsce_rej_wojwe,akt_miejsce_rej_powiat,akt_miejsce_rej_gmina,siedziba_wlasciciela_woj,siedziba_wlasciciela_pow,siedziba_wlasciciela_gmina,data_pierwszej_rej_w_kraju,createtimestamp,modifytimestamp,siedziba_wlasciciela_woj_teryt,akt_miejsce_rej_wojew_teryt,emisja_co2,emisja_co2_pal_alternatywne1
96353820350979,ZETOR,,---,5245,---,---,CIĄGNIK ROLNICZY,KOŁOWY,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1992,FABRYCZNY,1992-04-10,2017-07-04,1992-04-10,2696.00,,38.00,,3510,,5310,5310,,,,2,35,35,8775,1500,2,2,,OLEJ NAPĘDOWY,,,,,,N,,,N,,005020015000000,,,,,,9,09,,,,KUJAWSKO-POMORSKIE,WŁOCŁAWEK,WŁOCŁAWEK,KUJAWSKO-POMORSKIE,WŁOCŁAWSKI,FABIANKI,2011-06-07,2019-03-15,2019-03-15,04,04,,
83169185987265,JELCZ,,,W 640,,,SAMOCHÓD CIĘŻAROWY,WYWROTKA,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1981,FABRYCZNY,1981-01-10,2003-05-22,,11100.00,,1.00,,99999,,24000,,12000,,,2,80,80,,,2,2,,INNE,,,,,,N,,,N,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,MOGILEŃSKI,MOGILNO,KUJAWSKO-POMORSKIE,MOGILEŃSKI,MOGILNO,1981-01-10,2019-03-15,2019-03-15,04,04,,
49789942618799,TABBERT,,,500 CAMPING,,,PRZYCZEPA SPECJALNA,---,KEMPINGOWA,UŻYW. IMPORT INDYW,NIEOKRESLONA,1972,FABRYCZNY,1972-03-27,2002-09-19,1972-03-27,,,,,0,,1200,,,,,1,12,12,,,,,,,,,,,,B,,,B,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,2002-04-19,2019-07-09,2019-10-01,04,04,,
6202180579409,FORD,,---,"FIESTA 1,4 TDCI",---,---,SAMOCHÓD OSOBOWY,KARETA (SEDAN),---,UŻYW. IMPORT INDYW,ORYGINALNA,2005,FABRYCZNY,2005-07-12,2011-07-18,2005-07-12,1399.00,,50.00,,1066,,1580,,,,,2,8,8,750,400,5,5,,OLEJ NAPĘDOWY,,,,,,N,,,N,,002180000000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,2011-07-18,2019-03-15,2019-03-15,04,04,,
88269191501255,RENAULT,,---,CLIO,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,UŻYW. IMPORT INDYW,ORYGINALNA,2004,FABRYCZNY,2004-09-10,2008-07-11,2004-09-10,1461.00,,60.00,,1050,,1530,1530,,,2400,2,8,8,870,525,5,5,,OLEJ NAPĘDOWY,,,,,,N,,,N,,002260002000000,,,,,,9,03,2009-04-03,KRADZIEŻ POJAZDU   ,2017-10-17,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,2008-07-11,2019-03-15,2019-03-15,04,04,,
96012127179085,MAZDA,13,,CX-5,,,SAMOCHÓD OSOBOWY,KOMBI,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2016,FABRYCZNY,2016-05-17,2016-05-17,,2191.00,,110.00,,1553,,2050,2050,,,4050,2,11,11,2000,740,5,5,,OLEJ NAPĘDOWY,,,4.60,,1282,N,,,T,,,,1590,1587.0,1585,,,,,,,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,KUJAWSKO-POMORSKIE,TORUŃSKI,OBROWO,2016-05-17,2019-03-15,2019-03-15,04,04,119.0,
84438165671242,,,,POLSKI FIAT 126P 650,,,SAMOCHÓD OSOBOWY,---,---,UŻYW. ZAKUPIONY W KRAJU,ORYGINALNA,1993,FABRYCZNY,1994-01-04,2006-08-25,,652.00,,,,600,,920,,,,,2,6,6,,,4,4,,BENZYNA,,,,,,N,,,N,,,,,,,,,,,,,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,KUJAWSKO-POMORSKIE,TORUŃ,TORUŃ,1994-01-04,2019-03-15,2019-03-15,04,04,,
78350731470338,TOROS,2,WJ50,EL CLASICO,---,---,MOTOROWER,---,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2013,FABRYCZNY,2013-07-15,2013-07-15,,49.00,0.0350,2.80,,80,,235,,,,,2,2,2,,,2,2,,BENZYNA,,,,,,N,,,T,,057800036000003,,,,,,1,0100000,,,,KUJAWSKO-POMORSKIE,WŁOCŁAWEK,WŁOCŁAWEK,KUJAWSKO-POMORSKIE,WŁOCŁAWEK,WŁOCŁAWEK,2013-07-15,2019-03-15,2019-03-15,04,04,,
75260506320782,DACIA,11111111,---,SANDERO,---,---,SAMOCHÓD OSOBOWY,HATCHBACK,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2009,FABRYCZNY,2010-01-28,2010-01-28,,1598.00,,64.00,,1036,,1536,1536,,,2300,2,9,9,1100,555,5,5,,BENZYNA,,,,,1282,N,,N,B,,002110011000000,,,,,,9,03,,,,KUJAWSKO-POMORSKIE,INOWROCŁAWSKI,INOWROCŁAW,,,,2010-01-28,2019-03-15,2019-03-15,,04,,
25236294528784,NEPTUN,25,REMORQUE 1,N7-202 SVW,B75,202PND12,PRZYCZEPA LEKKA,CIĘŻAROWA,---,NOWY ZAKUPIONY W KRAJU,ORYGINALNA,2011,FABRYCZNY,2011-12-15,2013-07-15,,,,,,105,,750,750,645,645,,1,7,7,,,,,,,,,,,,N,,N,B,SORELPOL SP. Z O.O.,005930002000026,,1400,1400.0,1400,,1,1001000,,,,KUJAWSKO-POMORSKIE,BYDGOSZCZ,BYDGOSZCZ,,,,2011-12-15,2019-03-15,2019-03-15,,04,,
